=== Per (code, year) liquidity, full 2010-2024 (reusing existing cache, zero new API calls) ===
code  year  active_days  mean_volume  liquid
=== Candidate windows ending 2024: min per-year LIQUID headcount across the span ===
2010-2024 (15y): min per-year LIQUID headcount = 2
2011-2024 (14y): min per-year LIQUID headcount = 2
2012-2024 (13y): min per-year LIQUID headcount = 2
2013-2024 (12y): min per-year LIQUID headcount = 2
2014-2024 (11y): min per-year LIQUID headcount = 3
2015-2024 (10y): min per-year LIQUID headcount = 3
2016-2024 ( 9y): min per-year LIQUID headcount = 4
2017-2024 ( 8y): min per-year LIQUID headcount = 6
2018-2024 ( 7y): min per-year LIQUID headcount = 6
2019-2024 ( 6y): min per-year LIQUID headcount = 8
2020-2024 ( 5y): min per-year LIQUID headcount = 10
2021-2024 ( 4y): min per-year LIQUID headcount = 10
2022-2024 ( 3y): min per-year LIQUID headcount = 12
2023-2024 ( 2y): min per-year LIQUID headcount = 15
2024-2024 ( 1y): min per-year LIQUID headcount = 19

=== Per-code: years listed vs years liquid (within 2010-2024 window checked) ===
code  years_checked  years_liquid  pct_liquid
 JWF             14             2        14.3
 HQF              6             2        33.3
 ITF             14             5        35.7
 EHF             14             5        35.7
 KKF             14             5        35.7
 GMF             14             6        42.9
 SXF              2             1        50.0
 RUF              2             1        50.0
 HBF             10             6        60.0
 FYF             14            10        71.4
 PAF              7             5        71.4
 QDF              4             3        75.0
 QRF              4             3        75.0
 ZFF              4             3        75.0
 NWF             11             9        81.8
 OLF              9             8        88.9
 RFF              2             2       100.0
 CDF             15            15       100.0
 CCF             15            15       100.0

Saved: data/fut_stock_futures_liquidity_by_year_round358.csv
