"Date","貨幣總計數M1B(百萬元)","股價指數(Index1966=100)","工業生產指數(Index2021=100)","工業及服務業加班工時(小時)","海關出口值(十億元)","機械及電機設備進口值(十億元)","製造業銷售量指數(Index2021=100)","批發、零售及餐飲業營業額(十億元)"
202005,19779854,10876.943,82.42,6.9,808.08,317.68,80.85,1165.49633
202006,20082699,11489.677,85.22,6.7,809.34,319.14,85.67,1212.263395
202007,20364727,12256.21,88.2,6.6,833.09,324.15,89.83,1317.744006
202008,20779465,12743.06667,90.24,6.8,919.52,349.67,88.99,1291.470836
202009,21011747,12653.01955,93.41,6.8,903.92,347.08,95.62,1353.555186
202010,21061398,12817.76105,91.23,7.6,935.88,351.54,91.54,1314.054492
202011,21419902,13393.84048,92.67,7.5,921.39,385.32,94.67,1374.902619
202012,21957908,14276.87565,98,7.7,942.9,385.92,100.6,1426.806385
202101,22622754,15552.204,95.39,8.1,974.87,393.05,98.01,1442.351824
202102,22956480,16080.79462,80.59,7.5,788.19,317.33,80.83,1198.316948
202103,22981901,16150.14545,102.74,8,1013.09,420.79,102.21,1420.88205
202104,23111944,17114.84474,94.47,8.5,994.72,375.18,96.57,1404.830209
202105,23288445,16504.41571,98.96,7.8,1047.76,398.9,100.07,1374.296196
202106,23569675,17282.8181,102.67,7.5,1016.29,396.81,101.9,1296.407732
202107,23760484,17656.94045,102.98,7.4,1058.49,417.79,102.83,1359.407691
202108,23977765,17131.01,104.03,7.5,1102.42,472.31,102.71,1409.945115
202109,24156031,17281.23,105.03,7.6,1100.1,450.25,103.83,1468.254572
202110,24207931,16723.5555,102.79,8.2,1118.5,453.88,101.14,1463.524587
202111,24457750,17489.18273,104.05,8,1157.32,447.57,103.87,1539.019057
202112,24758016,17845.35091,106.33,8.4,1129.85,445.09,106.02,1563.737206
202201,25221943,18232.85722,103.46,7.9,1105.52,445.18,103.92,1609.068019
202202,25498947,18056.18133,87.87,8,1041.6,406.31,84.32,1264.677171
202203,25490519,17474.73174,105.75,8.2,1228.75,503.83,108.38,1603.732486
202204,25379697,16998.77947,98.84,8.5,1194.51,466.71,97.69,1489.480832
202205,25276153,16191.99095,100.63,8,1242.83,501.76,98.47,1480.799467
202206,25474479,15889.21238,100.38,8,1246.5,490.66,98.52,1495.51605
202207,25345565,14566.2519,100.51,7.6,1289.04,497.43,95.56,1493.239867
202208,25789157,15117.98174,101.9,7.4,1206.97,500.27,98.23,1494.258182
202209,25746139,14344.32476,95.76,7.1,1151.06,452.63,94.68,1551.93483
202210,25462085,13107.418,94.37,7.3,1265.68,546.87,90.12,1538.443793
202211,25539134,14067.26318,94.38,7.1,1150.54,475.79,91.31,1486.440145
202212,25783954,14512.76636,94.03,7.4,1095.27,420.05,91.52,1563.851247
202301,25913076,14736.84462,79.34,7.5,963.9,404.47,77.3,1439.549888
202302,26016523,15529.40333,79.18,8,937.09,382.218,79.72,1291.031894
202303,26002853,15652.88,88.89,8.3,1075.336,417.5,91.96,1492.938993
202304,26059477,15728.31471,76.06,8.8,1093.816,375.864,79.69,1373.89898
202305,26103879,15955.69773,84.34,8.7,1108.92,392.774,88.04,1428.212822
202306,26072303,16983.735,82.81,8.2,993.102,366.299,85.26,1443.082355
202307,26280834,17072.19476,84.76,7.9,1199.681,435.848,86.64,1472.522754
202308,26527742,16648.14273,90.57,7.8,1181.937,401.622,91.66,1470.739101
202309,26457439,16569.9035,89.34,7.8,1237.515,408.986,87.86,1549.452632
202310,26306314,16422.4045,92.46,8.1,1227.285,501.71,89.64,1560.305842
202311,26314092,16977.86409,92.79,7.7,1207.995,415.156,90.08,1563.327713
202312,26584852,17569.97952,90.57,7.7,1255.53,399.161,88.48,1552.637462
202401,26834447,17667.52591,91.54,8.1,1153.958,467.691,93.09,1640.325562
202402,27179113,18611.72308,78.61,7.9,985.952,313.184,74.71,1300.435816
202403,27402625,19843.09,93.23,8.3,1319.577,460.091,92.24,1550.563008
202404,27347071,20244.9695,87.75,8.5,1202.709,481.491,90.04,1528.526555
202405,27408812,21106.79909,98.11,8.6,1210.331,471.204,95.33,1564.841591
202406,27436734,22449.19789,94.08,8.6,1289.323,530.943,90.08,1546.645667
202407,27653731,23239.59,96.31,8.4,1297.684,567.485,95.79,1610.262906
202408,27602412,21851.69409,102.66,8.6,1421.823,496.459,97.75,1567.159547
202409,27533780,21890.573,99.97,8.4,1298.579,540.321,93.66,1613.980851
202410,27598953,23015.05105,100.58,9.1,1364.829,523.079,94.28,1618.886999
202411,27514288,22853.7681,102.44,8.9,1380.0197,518.7898,95.28,1597.373718
202412,27647201,23077.82182,108.37,8.7,1395.2104,514.5006,98.96,1703.752719
202501,28010308,23100.36667,96.89,8.7,1435.93075,503.735,91.29,1644.499974
202502,28021770,23327.53,92.9,8.3,1425.5918,505.9222,90.77,1486.274885
202503,27900305,22194.42952,106.39,8.6,1425.5918,505.9222,100.06,1665.702731
202504,27853118,19557.8075,110.05,9,1418.699167,507.3803333,103.91,1698.962266
202505,27947993,21270.987,122.25,9.1,1413.529692,508.4739333,111.49,1637.110816
202506,28106411,22013.9719,113.41,8.6,1408.360217,509.5675333,107.59,1565.475799
202507,28443353,22962.97522,115.63,8.5,1403.190742,510.6611333,108.38,1598.728904
202508,28832022,24044.89286,118.22,8.8,1398.021267,511.7547333,104.91,1603.258123
202509,28977498,25222.42524,118.12,8.6,1392.851792,512.8483333,107.68,1755.171579
202510,28935178,27401.15,116.56,9.3,1387.682317,513.9419333,106.47,1752.826259
202511,28873543,27463.6745,121.28,8.8,1382.512842,515.0355333,109.2,1791.744929
202512,28987198,28070.44091,133.38,9,1377.343367,516.1291333,118.71,1784.284544
202601,29574911,31223.39143,123.9,9.1,1372.173892,517.2227333,117.06,1978.703013
202602,30016162,33173.19417,108.35,8.9,1367.004417,518.3163333,95.88,1602.538098
202603,30086138,33351.145,134.18,9,1361.834942,519.4099333,122.82,2113.463808
202604,30149810,36644.3385,126.49,9.4,1356.665467,520.5035333,114.95,2032.961864
202605,30618881,41932.916,136.74,9.3,1351.495992,521.5971333,118.1,2107.281728
202606,30748857,45392.44762,139,9.1,1346.326517,522.6907333,124.02,2214.460928
202607,30530948,44366.29,145.24,,1341.157042,523.7843333,,2264.24221
