"Date","工業生產指數(Index2021=100)","電力(企業)總用電量(十億度)","製造業銷售量指數(Index2021=100)","批發、零售及餐飲業營業額(十億元)","工業及服務業加班工時(小時)","海關出口值(十億元)","機械及電機設備進口值(十億元)"
202405,98.11,14.65,95.33,1564.841591,8.6,1209.873,472.679
202406,94.08,14.31,90.08,1546.645667,8.6,1288.938,531.271
202407,96.31,15.15,95.79,1610.262906,8.4,1297.449,569.248
202408,102.66,15.42,97.75,1567.159547,8.6,1421.71,497.356
202409,99.97,14.75,93.66,1613.980851,8.4,1298.002,541.756
202410,100.58,14.4,94.28,1618.886999,9.1,1320.601,575.802
202411,102.44,13.82,95.28,1597.373718,8.9,1321.086,545.814
202412,108.37,13.35,98.96,1703.752719,8.7,1414.727,624.357
202501,96.89,12.48,91.29,1644.499974,8.7,1272.979,506.436
202502,92.9,11.85,90.77,1486.274885,8.3,1353.171,615.098
202503,106.39,13.49,100.06,1665.702731,8.6,1627.967,767.354
202504,110.05,13.61,103.91,1698.962266,9,1600.01,805.885
202505,122.25,14.73,111.49,1637.110816,9.1,1601.325,700.142
202506,113.41,14.66,107.59,1565.475799,8.6,1592.338,698.882
202507,115.63,15.3,108.38,1598.728904,8.5,1654.388,726.259
202508,118.22,15.42,104.91,1603.258123,8.8,1740.069,730.752
202509,118.12,14.93,107.68,1755.171579,8.6,1648.572,760.673
202510,116.56,15.16,106.47,1752.826259,9.3,1855.322,729.425
202511,121.28,13.63,109.2,1791.744929,8.8,1982.888,926.067
202512,133.38,13.55,118.71,1784.284544,9,1958.323,801.408
202601,123.9,13.67,117.06,1978.703013,9.1,2073.372,963.432
202602,108.35,12.08,95.88,1602.538098,8.9,1571.858,753.295
202603,134.18,14.48,122.82,2113.463808,9,2536.954,1220.262
202604,126.49,14.39,114.95,2032.961864,9.4,2153.671,1107.559
202605,136.74,15.57,118.1,2107.281728,9.3,2475.946,1206.884
202606,139,15.66,124.02,2214.460928,9.1,2356.625,1276.53
202607,145.24,,,2264.24221,,2409.508,1240.643
