name,title
"Date","Date"
"外銷訂單動向指數(以家數計)","外銷訂單動向指數(以家數計)"
"貨幣總計數M1B(百萬元)","貨幣總計數M1B(百萬元)"
"股價指數(Index1966=100)","股價指數(Index1966=100)"
"工業及服務業受僱員工淨進入率(%)","工業及服務業受僱員工淨進入率(%)"
"建築物開工樓地板面積(住宅類住宅、商業辦公、工業倉儲)(千平方公尺)","建築物開工樓地板面積(住宅類住宅、商業辦公、工業倉儲)(千平方公尺)"
"名目半導體設備進口(新臺幣百萬元)","名目半導體設備進口(新臺幣百萬元)"
