"name","title"
"Date","Date"
"失業率(%)","失業率(%)"
"製造業單位產出勞動成本指數(2021=100)","製造業單位產出勞動成本指數(2021=100)"
"五大銀行新承做放款平均利率(年息百分比)","五大銀行新承做放款平均利率(年息百分比)"
"全體金融機構放款與投資(10億元)","全體金融機構放款與投資(10億元)"
"製造業存貨價值(千元)","製造業存貨價值(千元)"
